# ENERGY SUPPLY GROUP 28,
# Wind park in Luxemburg with 140 turbines.,
#,
# time [s], power [MW]
925200,2.307419
926100,2.307419
927000,2.307419
927900,2.307419
928800,2.307419
929700,2.307419
930600,0
931500,0
932400,0
933300,2.307419
934200,2.307419
935100,4.768612
936000,7.388537
936900,7.388537
937800,7.388537
938700,7.388537
939600,7.388537
940500,4.768612
941400,4.768612
942300,2.307419
943200,0
944100,0
945000,0
945900,0
946800,0
947700,0
948600,0
949500,0
950400,0
951300,0
952200,0
953100,0
954000,0
954900,0
955800,0
956700,0
957600,0
958500,0
959400,2.307419
960300,2.307419
961200,4.768612
962100,4.768612
963000,4.768612
963900,4.768612
964800,4.768612
965700,4.768612
966600,4.768612
967500,4.768612
968400,7.388537
969300,7.388537
970200,7.388537
971100,10.172157
972000,10.172157
972900,13.12443
973800,19.554781
974700,23.042779
975600,30.589223
976500,30.589223
977400,30.589223
978300,30.589223
979200,30.589223
980100,34.657589
981000,38.929333
981900,43.409414
982800,43.409414
983700,48.102793
984600,53.01443
985500,58.149286
986400,58.149286
987300,63.51232
988200,69.108495
989100,74.942769
990000,81.020103
990900,81.020103
991800,87.345458
992700,93.923795
993600,100.760073
994500,107.859253
995400,115.226295
996300,122.86616
997200,130.783808
998100,122.86616
999000,122.86616
999900,115.226295
1000800,107.859253
1001700,115.226295
1002600,122.86616
1003500,122.86616
1004400,130.783808
1005300,130.783808
1006200,130.783808
1007100,130.783808
1008000,130.783808
1008900,130.783808
1009800,130.783808
1010700,122.86616
1011600,122.86616
1012500,115.226295
1013400,115.226295
1014300,107.859253
1015200,100.760073
1016100,93.923795
1017000,87.345458
1017900,81.020103
1018800,81.020103
1019700,74.942769
1020600,69.108495
1021500,63.51232
1022400,58.149286
1023300,58.149286
1024200,58.149286
1025100,58.149286
1026000,53.01443
1026900,53.01443
1027800,53.01443
1028700,53.01443
1029600,53.01443
1030500,48.102793
1031400,48.102793
1032300,43.409414
1033200,38.929333
1034100,38.929333
1035000,38.929333
1035900,38.929333
1036800,26.719273
1037700,26.719273
1038600,26.719273
1039500,26.719273
1040400,26.719273
1041300,26.719273
1042200,26.719273
1043100,26.719273
1044000,26.719273
1044900,26.719273
1045800,23.042779
1046700,23.042779
1047600,23.042779
1048500,26.719273
1049400,30.589223
1050300,34.657589
1051200,38.929333
1052100,38.929333
1053000,38.929333
1053900,43.409414
1054800,43.409414
1055700,48.102793
1056600,53.01443
1057500,58.149286
1058400,58.149286
1059300,69.108495
1060200,81.020103
1061100,93.923795
1062000,107.859253
1062900,115.226295
1063800,122.86616
1064700,122.86616
1065600,130.783808
1066500,130.783808
1067400,130.783808
1068300,130.783808
1069200,130.783808
1070100,130.783808
1071000,138.9842
1071900,147.472296
1072800,147.472296
1073700,156.253056
1074600,174.712412
1075500,184.400928
1076400,194.401951
1077300,204.720439
1078200,215.361355
1079100,215.361355
1080000,226.329658
1080900,226.329658
1081800,226.329658
1082700,237.630309
1083600,237.630309
1084500,237.630309
1085400,237.630309
1086300,237.630309
1087200,237.630309
1088100,249.268269
1089000,249.268269
1089900,249.268269
1090800,249.268269
1091700,249.268269
1092600,249.268269
1093500,261.248496
1094400,261.248496
1095300,261.248496
1096200,261.248496
1097100,261.248496
1098000,261.248496
1098900,261.248496
1099800,273.575953
1100700,273.575953
1101600,286.255599
1102500,286.255599
1103400,286.255599
1104300,273.575953
1105200,273.575953
1106100,273.575953
1107000,273.575953
1107900,261.248496
1108800,261.248496
1109700,261.248496
1110600,249.268269
1111500,237.630309
1112400,237.630309
1113300,226.329658
1114200,215.361355
1115100,204.720439
1116000,204.720439
1116900,194.401951
1117800,184.400928
1118700,184.400928
1119600,174.712412
1120500,174.712412
1121400,174.712412
1122300,174.712412
1123200,156.253056
1124100,147.472296
1125000,147.472296
1125900,147.472296
1126800,147.472296
1127700,147.472296
1128600,138.9842
1129500,138.9842
1130400,138.9842
1131300,138.9842
1132200,138.9842
1133100,130.783808
1134000,130.783808
1134900,130.783808
1135800,122.86616
1136700,122.86616
1137600,115.226295
1138500,115.226295
1139400,107.859253
1140300,107.859253
1141200,107.859253
1142100,107.859253
1143000,107.859253
1143900,107.859253
1144800,100.760073
1145700,100.760073
1146600,100.760073
1147500,100.760073
1148400,100.760073
1149300,100.760073
1150200,100.760073
1151100,100.760073
1152000,100.760073
1152900,100.760073
1153800,100.760073
1154700,107.859253
1155600,107.859253
1156500,107.859253
1157400,107.859253
1158300,107.859253
1159200,107.859253
1160100,115.226295
1161000,115.226295
1161900,115.226295
1162800,122.86616
1163700,115.226295
1164600,115.226295
1165500,107.859253
1166400,107.859253
1167300,100.760073
1168200,100.760073
1169100,93.923795
1170000,93.923795
1170900,81.020103
1171800,69.108495
1172700,58.149286
1173600,48.102793
1174500,34.657589
1175400,26.719273
1176300,19.554781
1177200,13.12443
1178100,10.172157
1179000,10.172157
1179900,7.388537
1180800,7.388537
1181700,4.768612
1182600,4.768612
1183500,4.768612
1184400,4.768612
1185300,4.768612
1186200,4.768612
1187100,2.307419
1188000,2.307419
1188900,2.307419
1189800,0
1190700,0
1191600,0
1192500,0
1193400,0
1194300,0
1195200,0
1196100,0
1197000,0
1197900,0
1198800,0
1199700,0
1200600,0
1201500,0
1202400,0
1203300,0
1204200,0
1205100,0
1206000,0
1206900,0
1207800,0
1208700,0
1209600,0
1210500,0
1211400,0
1212300,0
1213200,0
1214100,0
1215000,0
1215900,0
1216800,0
1217700,0
1218600,0
1219500,0
1220400,0
1221300,0
1222200,0
1223100,0
1224000,0
1224900,0
1225800,0
